0.8,up,tap,0
1.2,down,tap,0
1.6,left,tap,0
2.0,right,tap,0
2.4,up,tap,0
2.8,down,tap,0
3.2,left,tap,0
3.6,right,tap,0
4.5,up,long,1.5
6.5,right,long,2.0
8.0,left,tap,0
8.2,right,tap,0
8.4,up,tap,0
8.6,down,tap,0
9.5,down,long,1.5
11.5,left,long,1.0
13.0,up,tap,0
13.3,up,tap,0
13.6,up,tap,0
15.0,left,tap,0
15.0,right,tap,0
16.5,down,long,3.0
20.0,up,tap,0
20.5,down,tap,0
21.0,left,tap,0
21.5,right,tap,0
23.0,up,long,2.0
23.0,down,long,2.0
26.0,left,tap,0
27.0,right,tap,0
28.0,up,tap,0
29.0,down,tap,0
