0.4,up,tap,0
0.8,left,tap,0
1.2,down,tap,0
1.6,right,tap,0
2,up,tap,0
2.4,left,tap,0
2.8,down,tap,0
3.2,right,long,1.2
4,up,tap,0
4.3,left,tap,0
4.6,down,tap,0
4.9,right,tap,0
5.2,up,tap,0
5.5,left,tap,0
5.8,down,tap,0
6.1,right,long,1.2
7.5,left,tap,0
7.8,left,tap,0
8.1,down,tap,0
8.4,right,tap,0
8.7,up,tap,0
9,left,tap,0
9.3,down,tap,0
9.6,right,long,1.2
10.8,up,tap,0
11.1,left,tap,0
11.4,down,tap,0
11.7,right,tap,0
12,up,tap,0
12.3,left,tap,0
12.6,down,tap,0
12.9,right,long,1.2
14.2,up,tap,0
14.5,left,tap,0
14.8,down,tap,0
15.1,right,tap,0
15.4,up,tap,0
15.7,left,tap,0
16,down,tap,0
16.3,right,long,1.2
18,up,tap,0
18.3,left,tap,0
18.6,down,tap,0
18.9,right,tap,0
19.2,up,tap,0
19.5,left,tap,0
19.8,down,tap,0
20.1,right,long,1.2
22,up,tap,0
22.3,left,tap,0
22.6,down,tap,0
22.9,right,tap,0
23.2,up,tap,0
23.5,left,tap,0
23.8,down,tap,0
24.1,right,long,1.2
26,up,tap,0
26.3,left,tap,0
26.7,down,tap,0
27.1,right,tap,0
27.5,up,tap,0
27.9,left,tap,0
28.3,down,tap,0
28.7,right,long,1.2
30,up,tap,0
30.3,left,tap,0
30.6,down,tap,0
30.9,right,tap,0
31.2,up,tap,0
31.5,left,tap,0
31.8,down,tap,0
32.1,right,long,1.2
34,up,tap,0
34.3,left,tap,0
34.6,down,tap,0
34.9,right,tap,0
35.2,up,tap,0
35.5,left,tap,0
35.8,down,tap,0
36.1,right,long,1.2
38,up,tap,0
38.3,left,tap,0
38.6,down,tap,0
38.9,right,tap,0
39.2,up,tap,0
39.5,left,tap,0
39.8,down,tap,0
40.1,right,long,1.2
42,up,tap,0
42.3,left,tap,0
42.6,down,tap,0
42.9,right,tap,0
43.2,up,tap,0
43.5,left,tap,0
43.8,down,tap,0
44.1,right,long,1.2
46,up,tap,0
46.3,left,tap,0
46.6,down,tap,0
46.9,right,tap,0
47.2,up,tap,0
47.5,left,tap,0
47.8,down,tap,0
48.1,right,long,1.2
50,up,tap,0
50.3,left,tap,0
50.6,down,tap,0
50.9,right,tap,0
51.2,up,tap,0
51.5,left,tap,0
51.8,right,tap,0
52.1,up,long,1.2
54,left,tap,0
54.3,down,tap,0
54.6,right,tap,0
54.9,up,tap,0
55.2,left,tap,0
55.5,down,tap,0
55.8,right,long,1.2
57,up,long,1.2
60,left,tap,0
60.3,down,tap,0
60.6,right,tap,0
60.9,up,tap,0
61.2,left,tap,0
61.5,down,tap,0
61.8,right,tap,0
62.1,up,long,1.2
64,left,tap,0
64.3,down,tap,0
64.6,right,tap,0
64.9,up,tap,0
65.2,left,tap,0
65.5,down,tap,0
65.8,right,tap,0
66.1,up,long,1.2
68,left,tap,0
68.3,down,tap,0
68.6,right,tap,0
68.9,up,tap,0
69.2,left,tap,0
69.5,down,tap,0
69.8,right,tap,0
70.1,up,long,1.2
72,left,tap,0
72.3,down,tap,0
72.6,right,tap,0
72.9,up,tap,0
73.2,left,tap,0
73.5,down,tap,0
73.8,right,tap,0
74.1,up,long,1.2
76,left,tap,0
76.3,down,tap,0
76.6,right,tap,0
76.9,up,tap,0
77.2,left,tap,0
77.5,down,tap,0
77.8,right,tap,0
78.1,up,long,1.2
80,left,tap,0
80.3,down,tap,0
80.6,right,tap,0
80.9,up,tap,0
81.2,left,tap,0
81.5,down,tap,0
81.8,right,tap,0
82.1,up,long,1.2
84,left,tap,0
84.3,down,tap,0
84.6,right,tap,0
84.9,up,tap,0
85.2,left,tap,0
85.5,down,tap,0
85.8,right,tap,0
86.1,up,long,1.2
88,left,tap,0
88.3,down,tap,0
88.6,right,tap,0
88.9,up,tap,0
89.2,left,tap,0
89.5,down,tap,0
89.8,right,tap,0
90.1,up,long,1.2
92,left,tap,0
92.3,down,tap,0
92.6,right,tap,0
92.9,up,tap,0
93.2,left,tap,0
93.5,down,tap,0
93.8,right,tap,0
94.1,up,long,1.2
96,left,tap,0
96.3,down,tap,0
96.6,right,tap,0
96.9,up,tap,0
97.2,left,tap,0
97.5,down,tap,0
97.8,right,tap,0
98.1,up,long,1.2
100,left,tap,0
100.3,down,tap,0
100.6,right,tap,0
100.9,up,tap,0
101.2,left,tap,0
101.5,down,tap,0
101.8,right,tap,0
102.1,up,long,1.2
104,left,tap,0
104.3,down,tap,0
104.6,right,tap,0
104.9,up,tap,0
105.2,left,tap,0
105.5,down,tap,0
105.8,right,tap,0
106.1,up,long,1.2
108,left,tap,0
108.3,down,tap,0
108.6,right,tap,0
108.9,up,tap,0
109.2,left,tap,0
109.5,down,tap,0
109.8,right,tap,0
110.1,up,long,1.2
112,left,tap,0
112.3,down,tap,0
112.6,right,tap,0
112.9,up,tap,0
113.2,left,tap,0
113.5,down,tap,0
113.8,right,tap,0
114.1,up,long,1.2
116,left,tap,0
116.3,down,tap,0
116.6,right,tap,0
116.9,up,tap,0
117.2,left,tap,0
117.5,down,tap,0
117.8,right,tap,0
118.1,up,long,1.2
120,left,tap,0
120.3,down,tap,0
120.6,right,tap,0
120.9,up,tap,0
121.1,left,tap,0
