1,up,tap,0
2,left,tap,0
3,down,tap,0
4,right,tap,0
5,up,long,2
6,left,tap,0
7,down,tap,0
8,right,tap,0
9,up,tap,0
10,left,tap,0
11,down,tap,0
12,right,tap,0
13,up,tap,0
14,left,tap,0
15,down,long,2
16,right,tap,0
17,left,tap,0
18,left,tap,0
19,down,long,2
20,right,tap,0
21,up,tap,0
22,left,tap,0
23,down,tap,0
24,right,tap,0
25,up,long,2
26,left,tap,0
27,down,tap,0
28,right,tap,0
29,up,long,2
30,left,tap,0
31,down,tap,0
32,right,tap,0
33,up,tap,0
34,left,tap,0
35,down,long,2
36,right,tap,0
37,up,tap,0
38,left,tap,0
39,down,long,2
40,right,tap,0
41,up,tap,0
42,left,tap,0
43,down,tap,0
44,right,tap,0
45,up,long,2
46,left,tap,0
47,down,tap,0
48,right,tap,0
49,up,long,2
50,left,tap,0
51,down,tap,0
52,right,long,2
53,up,tap,0
54,left,tap,0
55,down,long,2
56,right,tap,0
57,up,tap,0
58,left,tap,0
59,down,long,2
60,right,tap,0
61,up,tap,0
62,left,tap,0
63,down,tap,0
64,right,tap,0
65,up,long,2
66,left,tap,0
67,down,tap,0
68,right,tap,0
69,up,long,2
70,left,tap,0
71,down,tap,0
72,right,tap,0
73,up,tap,0
74,left,tap,0
75,down,long,2
76,right,tap,0
77,up,tap,0
78,left,tap,0
79,down,long,2
80,right,tap,0
