0.8,up,tap,0,0
1.2,down,tap,0,0
1.6,left,tap,0,0
2,right,tap,0,0
3,up,long,1.5,0
4.5,right,tap,0,0
5,down,long,1.5,0
6.5,up,long,1.5,0
7,left,tap,0,0
8,up,long,1.5,0
8.4,right,tap,0,0
8.8,down,tap,0,0
9.2,left,tap,0,0
9.8,up,tap,0,0
10.2,up,long,1.5,0
12,left,tap,0,0
12.4,down,tap,0,0
12.8,left,tap,0,0
13.2,up,tap,0,0
13.6,right,tap,0,0
14,down,tap,0,0
14.4,up,long,1.5,0
16,left,long,1.5,0
18,left,tap,0,0
18.4,left,long,2,0
20,up,tap,0,0
20.4,right,long,1.5,0
22,down,tap,0,0
22.4,up,tap,0,0
22.8,up,tap,0,0
23.2,left,tap,0,0
23.6,down,tap,0,0
24,left,tap,0,0
24.4,up,long,1.5,0
26,right,tap,0,0
26.4,down,long,0,0
28,up,tap,0,0
28.4,right,tap,0,0
28.8,up,tap,0,0
29.2,up,tap,0,0
29.6,left,tap,0,0
30,down,long,1.5,0
31.8,right,long,1.5,0
33.2,up,tap,0,0
33.6,up,long,1.5,0
34,right,tap,0,0
34.4,down,tap,0,0
34.8,down,tap,0,0
35.2,up,tap,0,0
35.6,left,tap,0,0
36,down,tap,0,0
36.4,up,tap,0,0
36.8,right,tap,0,0
37.2,right,long,1.5,0
40,down,tap,0,0
